Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Dimaks;2C:4D:54:5A:AF:D0;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;3;0;0;3;;;Sun Nov 25 03:07:51 2018;Sun Nov 25 03:08:16 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ENERGO;00:17:9A:72:6D:7C;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Sun Nov 25 03:08:08 2018;Sun Nov 25 03:08:12 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Sky104;18:0F:76:93:FD:C5;;13;No;WPA2,AES-CCM;No;130.0;0;15;0;0;0;0;0;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:16 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;MTSRouter_2.4GHz_002815;D4:60:E3:CF:C4:16;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;13;0;0;0;0;0;;;Sun Nov 25 03:07:47 2018;Sun Nov 25 03:08:19 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;TP-LINK_173;90:F6:52:B1:51:56;;11;No;WPA2,WPA,AES-CCM,TKIP;No;270.0;0;6;0;0;0;0;0;;;Sun Nov 25 03:07:54 2018;Sun Nov 25 03:08:15 2018;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Zet-29;F8:F0:82:F4:1E:86;;5;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Sun Nov 25 03:07:46 2018;Sun Nov 25 03:08:15 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Beeline_236;E0:60:66:72:F8:36;;7;No;WPA2,AES-CCM,TKIP;No;270.0;0;2;0;0;0;0;0;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:16 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Plumbum;EA:28:5D:7A:E0:D8;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:16 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;MTSRouter_2.4GHz_013493;3C:98:72:34:A4:6C;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;9;0;0;0;0;0;;;Sun Nov 25 03:07:46 2018;Sun Nov 25 03:08:15 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Network;2C:B0:5D:A2:C0:A9;;2;No;WPA2,AES-CCM;No;135.0;0;7;0;0;0;0;0;;;Sun Nov 25 03:07:48 2018;Sun Nov 25 03:08:13 2018;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
